Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
4414,NCT04469907,Study to Assess the Pharmacokinetics and Safety of AZD9977 in Participants With Renal Impairment,Renal Impairment,Drug: AZD9977,AstraZeneca,Phase 1,18,Industry,"June 22, 2020","October 28, 2021","October 28, 2021"
4415,NCT04469023,Late Phase II Study of TS-142 in Patients With Insomnia,Patients With Insomnia,Drug: TS-142,"Taisho Pharmaceutical Co., Ltd.",Phase 2,179,Industry,"September 9, 2020","November 16, 2021","November 16, 2021"
4416,NCT04468971,REgulatory T Cell infuSion fOr Lung Injury Due to COVID-19 PnEumonia,COVID19|ARDS,Biological: CK0802|Drug: Placebo,"Cellenkos, Inc.",Phase 1,45,Industry,"September 29, 2020","October 22, 2021","October 22, 2021"
4417,NCT04467684,"Study Investigating the Safety, Tolerability, and PK, PD, of CB-0406",Healthy Volunteers,"Drug: CB-0406 100 mg|Drug: CB-0406 200 mg|Drug: CB-0406 400 mg|Drug: CB-0406 800 mg|Drug: CB-0406 1,000 mg|Drug: Matched placebo","CymaBay Therapeutics, Inc.",Phase 1,90,Industry,"July 7, 2020","May 30, 2021","June 6, 2021"
4418,NCT04467346,Bioequivalence Study Between Temozolomide Oral Suspension (Ped-TMZ) and Temodal® Capsules,Therapeutic Equivalency,Drug: Ped-TMZ,Orphelia Pharma,Phase 1,36,Industry,"September 25, 2020","December 17, 2021","December 17, 2021"
4419,NCT04467086,Propranolol as an Anxiolytic to Reduce the Use of Sedatives From Critically-ill Adults Receiving Mechanical Ventilation,Mechanical Ventilation|Sedation|Critical Illness|COVID,Drug: Propranolol Hydrochloride,Ottawa Hospital Research Institute|Hamilton Health Sciences Corporation|The Ottawa Hospital|McMaster University|Sinai Health System,Phase 3,72,Other,"January 8, 2021","November 30, 2022","November 30, 2022"
4420,NCT04466618,Endogenous GLP-1 Secretion on Islet Function in People With and Without Type 2 Diabetes,Healthy|Type 2 Diabetes,"Biological: Saline|Biological: Exendin-9,39|Biological: Saline + Intralipid/Heparin|Biological: Exendin-9,39 + Intralipid/Heparin",Adrian Vella|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Mayo Clinic,Phase 3,23,Other|NIH,"April 15, 2021","December 15, 2022","December 31, 2022"
4421,NCT04466540,Randomized Placebo-controlled Trial of Hydroxychloroquine in Outpatient Cases With Coronavirus Disease 2019 (COVID-19),COVID-19,Drug: Hydroxychloroquine|Drug: Placebo,Hospital Alemão Oswaldo Cruz|EMS S/A|Hospital do Coracao|Hospital Israelita Albert Einstein|Hospital Sirio-Libanes|Hospital Moinhos de Vento|Brazilian Research In Intensive Care Network,Phase 4,1372,Other,"May 12, 2020","July 28, 2021","September 28, 2021"
4422,NCT04466215,Medication Development for Protracted Abstinence in Alcoholism: CORT118335 Versus Placebo,Alcohol Use Disorder,Drug: Miricorilant|Drug: Placebo oral tablet,The Scripps Research Institute|National Institute on Alcohol Abuse and Alcoholism (NIAAA),Phase 2,50,Other|NIH,"April 15, 2021","April 15, 2022","June 7, 2022"
4423,NCT04466137,Phase 3 Study to Evaluate the Safety and Efficacy of YPEG-rhG-CSF in Malignancies Receiving Chemotherapy,Non-Myeloid Malignancy,Drug: YPEG-rhG-CSF|Drug: rhG-CSF/PEG-rhG-CSF,"Xiamen Amoytop Biotech Co., Ltd.|Cancer Institute and Hospital, Chinese Academy of Medical Sciences",Phase 3,398,Industry|Other,"October 16, 2020","June 24, 2021","September 1, 2021"
4424,NCT04465396,A Study to Evaluate the Bioavailability of Teduglutide Administered Subcutaneously by Syringe Injection Versus Pen Injector in Healthy Adult Participants,Healthy Volunteers,Drug: Teduglutide|Device: Syringe Injection|Device: Pen injector,"Shire|Takeda Development Center Americas, Inc.|Takeda",Phase 1,64,Industry,"January 13, 2021","August 20, 2021","August 20, 2021"
4425,NCT04465357,Efficacy of Erenumab on Functional Impact of Migraine,Migraine,Drug: Erenumab-Aooe 140 MG/ML [Aimovig],"Merle Diamond|Clinvest Research, LLC|Smith, Timothy R., M.D.|Diamond Headache Clinic",Phase 4,55,Other|Industry,"October 22, 2020","June 3, 2022","June 3, 2022"
4426,NCT04464265,Magnetic Resonance Imaging of the Effect of Music Listening on Brain Activity Under Anesthesia,Healthy,Other: Functional Magnetic Resonance Imaging (fMRI),University of Michigan|National Institute of General Medical Sciences (NIGMS),Phase 4,49,Other|NIH,"April 19, 2021","August 5, 2022","August 5, 2022"
4427,NCT04463693,Shoulder Contraceptive Implant Study,Contraception,Drug: Etonogestrel implant,"University of Colorado, Denver",Phase 4,5,Other,"October 14, 2020","February 15, 2022","February 15, 2022"
4428,NCT04463680,Rifampin and the Contraceptive Implant,Contraception|Tuberculosis,Drug: Rifampin 600 MG,"University of Colorado, Denver|Merck Sharp & Dohme LLC",Phase 4,24,Other|Industry,"September 23, 2020","February 22, 2022","February 22, 2022"
4429,NCT04463251,Study to Evaluate the Effect on Parameters of Systemic Inflammation and Disease Outcomes and Safety of RPH-104 in Subjects With Acute ST-elevation Myocardial Infarction,Acute ST Segment Elevation Myocardial Infarction,Biological: RPH-104 80 mg|Drug: Placebo,"R-Pharm Overseas, Inc.|Cromos Pharma LLC|Data Management 365|Keystat, LLC|R-Pharm|K-Research",Phase 2,102,Industry|Other,"December 7, 2020","November 3, 2021","October 10, 2022"
4430,NCT04462952,Study of Adavosertib(AZD1775) in Japanese Patients With Advanced Solid Tumours,Advanced Solid Tumours,Drug: Adavosertib (AZD1775),AstraZeneca,Phase 1,6,Industry,"June 24, 2020","September 22, 2021","September 22, 2021"
4431,NCT04462263,Study to Investigate the Receptor Occupancy of HTL0014242 Using [18F] FPEB in Healthy Male Subjects,Healthy,Drug: HTL0014242,Heptares Therapeutics Limited,Phase 1,8,Industry,"June 29, 2020","June 23, 2021","June 23, 2021"
4432,NCT04461795,Efficacy of AJOVY (Fremanezumab-vfrm) on Interictal Migraine Related Burden,Migraine,Drug: Fremanezumab-Vfrm 225 MG/1.5 ML Subcutaneous Solution [AJOVY],"David True|Clinvest Research, LLC",Phase 4,40,Industry,"December 1, 2020","January 10, 2022","January 10, 2022"
4433,NCT04461587,Examination of Pirfenidone (Esbriet®) Therapy in Coal Workers' Pneumoconiosis With Pulmonary Fibrosis,Coal Workers' Pneumoconiosis (Complicated),Drug: Pirfenidone,"Pulmonary Research of Abingdon, LLC|Genentech, Inc.",Phase 2,50,Other|Industry,"August 31, 2020","November 10, 2022","November 16, 2022"
4434,NCT04461041,Empagliflozin and Cardiac Remodelling in People Without Diabetes,Cardiovascular Diseases|Left Ventricular Hypertrophy,Drug: Empagliflozin|Drug: Placebo,Unity Health Toronto|Canadian Medical and Surgical Knowledge Translation Research Group|Boehringer Ingelheim|Applied Health Research Centre,Phase 4,169,Other|Industry,"April 1, 2021","July 31, 2022","July 31, 2022"
4435,NCT04461015,The Effect of the Interaction of Glucagon and Insulin on Endogenous Glucose Production in Humans,Healthy,Drug: 0.4mU Insulin followed by withdrawal period followed by 0.8mU study|Drug: 0.8mU Insulin followed by withdrawal period followed by 0.4mU study,Adrian Vella|Mayo Clinic,Phase 3,12,Other,"October 14, 2020","July 30, 2021","January 6, 2022"
4436,NCT04460885,"A Research Study to Compare Two Types of Insulin, a New Insulin, Insulin Icodec and an Available Insulin, Insulin Glargine, in People With Type 2 Diabetes Who Have Not Used Insulin Before","Diabetes Mellitus, Type 2",Drug: Insulin icodec|Drug: Insulin glargine,Novo Nordisk A/S,Phase 3,984,Industry,"November 25, 2020","May 29, 2022","December 1, 2022"
4437,NCT04460651,PREPARE-IT. Prevention and Treatment of COVID19 With EPA in Subjects at Risk - Intervention Trial,COVID19,Drug: Icosapent ethyl (IPE)|Drug: Placebo,Estudios Clínicos Latino América|Amarin Pharma Inc.,Phase 3,4093,Other|Industry,"August 14, 2020","August 30, 2021","August 30, 2021"
4438,NCT04459871,Safety and Efficacy of Topical Recombinant Human Thrombin(rhThrombin) for Surgical Hemostasis,Surgical Hemostasis,Biological: recombinant human Thrombin(CHO cell)|Biological: placebo,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",Phase 3,348,Industry,"November 11, 2019","October 20, 2021","October 20, 2021"
4439,NCT04459377,Ketamine Analgesia in Third Molar Surgery,Pain|Postoperative,Drug: S-Ketamine|Drug: Sodium Chloride 0.9% Inj,"Dalarna County Council, Sweden|Uppsala University|Center for Clinical Research Dalarna, Sweden",Phase 4,168,Other,"February 14, 2017","March 10, 2022","September 30, 2022"
4440,NCT04459338,A Dose-response Study Examining the Contribution of GLP-1 Receptor Signaling to Glucagon-stimulated Insulin Secretion,Healthy,"Biological: Exendin-9,39|Other: Saline",Adrian Vella|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Mayo Clinic,Phase 3,14,Other|NIH,"February 1, 2021","June 14, 2022","June 14, 2022"
4441,NCT04459221,Study of the Impact of a School Program Combining - Promotion of HPV Vaccination and HPV Vaccine Offer in Middle School - on Adherence to HPV Vaccination in Middle School Students,Papilloma Viral Infection,"Drug: Gardasil 9, 9-Valent Intramuscular Suspension",Centre Hospitalier Universitaire de la Réunion,Phase 4,355,Other,"November 1, 2020","June 25, 2021","December 30, 2021"
4442,NCT04457180,A Pharmacokinetic Interaction Study Between Apatinib Mesylate and Repaglinide or Bupropion in Advanced Solid Tumor Subjects,Advanced Solid Tumor,Drug: Apatinib Mesylate|Drug: Repaglinide|Drug: Bupropion,"Jiangsu HengRui Medicine Co., Ltd.",Phase 1,18,Industry,"November 16, 2020","May 20, 2021","June 19, 2021"
4443,NCT04456998,GB002 in Adult Subjects With Pulmonary Arterial Hypertension (PAH),Pulmonary Artery Hypertension,Drug: GB002 (seralutinib)|Drug: Placebo|Device: Generic Dry Powder Inhaler,"GB002, Inc., a wholly owned subsidiary of Gossamer Bio, Inc.|Gossamer Bio Inc.",Phase 2,86,Industry,"December 14, 2020","October 17, 2022","November 1, 2022"
4444,NCT04455633,"Efficacy, Safety, and PK of LX9211 in Patients With Diabetic Peripheral Neuropathic Pain",Diabetic Peripheral Neuropathy|Diabetes,Drug: LX9211 low dose|Drug: LX9211 high dose|Drug: LX9211 Placebo,Lexicon Pharmaceuticals,Phase 2,319,Industry,"July 7, 2020","May 23, 2022","June 28, 2022"
4445,NCT04455152,Self-control and Body-focused Repetitive Behaviors,Trichotillomania (Hair-Pulling Disorder)|Skin-Picking,Behavioral: self-control,American University,Phase 1,80,Other,"June 30, 2020","November 4, 2022","November 4, 2022"
4446,NCT04454424,"Study on the Safety of BAY1817080, How it is Tolerated and the Way the Body Absorbs, Distributes and Gets Rid of the Study Drug in Participants With Impaired Liver Function or Normal Liver Function",Endometriosis Related Pain|Overactive Bladder|Diabetic Neuropathic Pain|Refractory or Unexplained Chronic Cough,Drug: BAY1817080|Drug: Midazolam,Bayer,Phase 1,37,Industry,"July 23, 2020","June 24, 2021","December 15, 2021"
4447,NCT04453384,Study to Evaluate the Safety and Efficacy of XAV-19 in Patients With COVID-19 Induced Moderate Pneumonia,SARS Virus,Drug: XAV-19|Drug: Placebo,Nantes University Hospital|BPIfrance|Xenothera SAS,Phase 2,416,Other|Industry,"September 1, 2020","May 21, 2021","August 19, 2021"
4448,NCT04453137,"Pharmacokinetic, Efficacy, Safety, and Immunogenicity of AVT02 With Moderate to Severe Chronic Plaque Psoriasis",Plaque Psoriasis,Biological: Adalimumab originator|Biological: Adalimumab biosimilar,Alvotech Swiss AG,Phase 3,567,Industry,"June 30, 2020","May 31, 2021","November 16, 2021"
4449,NCT04452669,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,COVID-19,Drug: VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),Aerogen Pharma Limited|Ohio State University,Phase 2,11,Industry|Other,"September 15, 2020","June 29, 2021","June 29, 2021"
4450,NCT04452318,COVID-19 Study Assessing the Efficacy and Safety of Anti-Spike SARS CoV-2 Monoclonal Antibodies for Prevention of SARS CoV-2 Infection Asymptomatic in Healthy Adults and Adolescents Who Are Household Contacts to an Individual With a Positive SARS-CoV-2 RT-PCR Assay,Healthy Participants,Drug: REGN10933 + REGN10987|Drug: Placebo,Regeneron Pharmaceuticals,Phase 3,3303,Industry,"July 13, 2020","October 4, 2021","October 4, 2021"
4451,NCT04451954,Study of Recombinant Influenza Vaccine Containing Different H3 Antigens Without or With Adjuvant in Healthy Adult Subjects,Influenza,Biological: Quadrivalent RIV with H3 strain 1|Biological: Quadrivalent RIV with H3 strain 1 and adjuvant|Biological: Quadrivalent RIV with H3 strain 2|Biological: Quadrivalent RIV with H3 strain 2 and adjuvant|Biological: Quadrivalent RIV with 2018-2019 NH H3 strain|Biological: Quadrivalent RIV with 2018-2019 NH H3 strain and adjuvant,"Sanofi Pasteur, a Sanofi Company|Sanofi",Phase 1,210,Industry,"July 2, 2020","September 20, 2021","September 20, 2021"
4452,NCT04451720,Study of Subcutaneous Risankizumab Injection to Assess Change in Palmoplantar Pustulosis Area and Severity Index [PPPASI] in Adult Japanese Participants With Palmoplantar Pustulosis,Palmoplantar Pustulosis (PPP),Drug: Risankizumab|Drug: Placebo,AbbVie,Phase 3,119,Industry,"July 20, 2020","November 21, 2022","November 21, 2022"
4453,NCT04451226,A Study to Assess the Safety and Tolerability of Fezolinetant in Women Seeking Treatment for Relief of Vasomotor Symptoms (VMS) Associated With Menopause,Hot Flashes,Drug: Fezolinetant,"Astellas Pharma China, Inc.|Astellas Pharma Inc",Phase 3,150,Industry,"July 30, 2020","June 13, 2022","June 13, 2022"
4454,NCT04451187,A Study of Oral Seltorexant as an add-on Medication to an Antidepressant on On-road Driving Performance in Participants With Major Depressive Disorder,"Depressive Disorder, Major",Drug: Seltorexant Dose 1|Drug: Seltorexant Dose 2|Drug: Placebo|Drug: Zopiclone,"Janssen Research & Development, LLC",Phase 1,63,Industry,"July 16, 2020","March 16, 2023","March 16, 2023"
4455,NCT04450563,Low Dose Empagliflozin in Adults With Type 1 Diabetes on Closed Loop Insulin System,Type 1 Diabetes,Drug: 14-day outpatient intervention,McGill University,Phase 1,25,Other,"November 2, 2020","January 5, 2022","January 13, 2022"
4456,NCT04450498,A Study to Demonstrate Non-inferior Immunogenicity of Yuxi Walvax MPV ACYW® Vaccine in Healthy Subjects Aged 2-10 Years,Neisseria Meningitides Meningitis,Biological: Yuxi Walvax MPV ACYW® vaccine|Biological: Sanofi Pasteur Menactra® vaccine,"Walvax Biotechnology Co., Ltd.",Phase 4,260,Industry,"December 23, 2020","July 30, 2021","July 30, 2021"
4457,NCT04450407,A Study of LY3209590 in Participants With Type 1 Diabetes,Type 1 Diabetes Mellitus,Drug: LY3209590|Drug: Insulin Degludec,Eli Lilly and Company,Phase 2,266,Industry,"July 6, 2020","October 1, 2021","October 1, 2021"
4458,NCT04450394,A Phase 2 Study of LY3209590 in Participants With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,Drug: LY3209590|Drug: Insulin Degludec,Eli Lilly and Company,Phase 2,278,Industry,"July 1, 2020","October 8, 2021","October 8, 2021"
4459,NCT04449926,BCG and Plasma Amyloid in Non-Demented Adults,"Alzheimer Disease, Late Onset",Biological: Bacillus of Calmette and Guerin (BCG),"Mindful Diagnostics and Therapeutics, LLC",Phase 2,49,Industry,"November 9, 2020","December 4, 2021","December 5, 2021"
4460,NCT04449536,Cysteine-lowering Treatment With Mesna,Obesity|Drug Effect,Drug: Mesna,University of Oslo|Oslo University Hospital|University of Oxford,Phase 1,25,Other,"November 2, 2020","October 21, 2021","October 21, 2021"
4461,NCT04449484,Multiple Ascending Dose Study of MEDI1341 in Patients With Parkinson's Disease,Parkinson's Disease,Drug: MEDI1341|Other: Placebo,AstraZeneca|Takeda,Phase 1,25,Industry,"August 4, 2020","January 5, 2022","January 5, 2022"
4462,NCT04449276,"A Study to Evaluate the Safety, Reactogenicity and Immunogenicity of Vaccine CVnCoV in Healthy Adults for COVID-19",Severe Acute Respiratory Syndrome|Coronavirus|SARS-CoV-2|COVID-19,Biological: CVnCoV Vaccine|Drug: Placebo,CureVac|Coalition for Epidemic Preparedness Innovations,Phase 1,280,Industry|Other,"June 18, 2020","December 21, 2021","December 21, 2021"
4463,NCT04449250,Fed-Fast Crossover Study to Assess the Effect of Food With CTx-1301 in Healthy Subjects,Healthy Volunteers in Fed and Fasted State,Drug: Dexmethylphenidate,Cingulate Therapeutics,Phase 1,27,Industry,"September 14, 2022","October 14, 2022","October 14, 2022"
4464,NCT04449029,A Study of GSK3228836 in Participants With Chronic Hepatitis B (CHB),Hepatitis B,Drug: GSK3228836|Drug: Placebo|Drug: Nucleos(t)ide therapy,GlaxoSmithKline,Phase 2,457,Industry,"July 27, 2020","March 18, 2022","March 18, 2022"
4465,NCT04448756,Study of M5049 in Participants With COVID-19 Pneumonia (ANEMONE),Coronavirus Disease 2019,Drug: M5049|Drug: Placebo,"EMD Serono Research & Development Institute, Inc.|Merck KGaA, Darmstadt, Germany|EMD Serono",Phase 2,149,Industry,"July 29, 2020","August 16, 2021","August 16, 2021"
4466,NCT04448431,Comparison of Vortioxetine and Desvenlafaxine in Adult Patients Suffering From Depression,Major Depressive Disorder,Drug: Vortioxetine|Drug: Desvenlafaxine,H. Lundbeck A/S,Phase 4,605,Industry,"June 18, 2020","January 6, 2022","February 4, 2022"
4467,NCT04448132,Evaluation of Persistence of Immunity in 4-year-old Children Previously Immunised With IPV-Al AJV (Picovax®),Poliomyelitis,Biological: IPV-Al,AJ Vaccines A/S,Phase 4,163,Industry,"November 20, 2020","May 3, 2021","May 3, 2021"
4468,NCT04447846,Novel Cognitive Treatment Targets for Epidiolex in Sturge- Weber Syndrome,Sturge-Weber Syndrome,Drug: Cannabidiol,"Anne Comi, MD|Jazz Pharmaceuticals|Faneca 66 Foundation|Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",Phase 2,11,Other|Industry,"October 14, 2019","August 16, 2021","December 9, 2022"
4469,NCT04447417,Dupilumab Skin Barrier Function Study in Atopic Dermatitis,Atopic Dermatitis,Drug: Dupilumab SAR231893,Sanofi|Regeneron Pharmaceuticals,Phase 4,52,Industry,"July 16, 2020","June 17, 2021","June 17, 2021"
4470,NCT04446845,Double Stimulation Followed by a Fresh Embryo Transfer,Infertility,Drug: Double Stimulation (Elonva+rFSH) in luteal /follicular phase|Drug: Conventional Stimulation (Elonva+rFSH) in follicular phase,Fundación Santiago Dexeus Font|Merck Sharp & Dohme LLC|Institut Universitari Dexeus,Phase 4,120,Other|Industry,"October 30, 2020","January 15, 2023","May 2, 2023"
4471,NCT04445987,Long-Term Safety of ARQ-154 Foam in Subjects With Seborrheic Dermatitis,Seborrheic Dermatitis,Drug: ARQ-154,"Arcutis Biotherapeutics, Inc.",Phase 2,408,Industry,"June 12, 2020","November 19, 2022","November 19, 2022"
4472,NCT04445714,To Assess Safety of Fixed Dose Combination of Dapagliflozin and Saxagliptin in Type 2 Diabetes Mellitus Patients,Type 2 Diabetes Mellitus,Drug: dapagliflozin and saxagliptin,AstraZeneca,Phase 4,200,Industry,"April 7, 2021","March 14, 2023","March 14, 2023"
4473,NCT04445519,Phase 3 Trial of NCX 470 vs. Latanoprost in Subjects With Open-Angle Glaucoma or Ocular Hypertension,Open Angle Glaucoma|Ocular Hypertension,Drug: NCX 470 0.065% (initial phase of trial)|Drug: Latanoprost 0.005% (initial phase of trial)|Drug: NCX 470 0.1% (initial phase of trial)|Drug: NCX 470 0.1% (remainder of trial)|Drug: Latanoprost 0.005% (remainder of trial),"Nicox Ophthalmics, Inc.",Phase 3,670,Industry,"June 1, 2020","September 16, 2022","September 16, 2022"
4474,NCT04445246,Inhaled Iloprost for Suspected COVID-19 Respiratory Failure,"COVID-19|ARDS, Human|Hypoxemic Respiratory Failure",Drug: Inhaled ILOPROST,Hamad Medical Corporation,Phase 2,40,Industry,"May 23, 2020","May 31, 2021","May 31, 2021"
4475,NCT04444752,A Study to Assess the Efficacy and Safety of CBP-201 in Adult Subjects With Moderate to Severe Atopic Dermatitis,Moderate-to-severe Atopic Dermatitis,Drug: CBP-201|Drug: placebo,"Suzhou Connect Biopharmaceuticals, Ltd.",Phase 2,226,Industry,"July 17, 2020","July 28, 2021","October 19, 2021"
4476,NCT04444700,A Pragmatic Randomized Controlled Trial of Therapeutic Anticoagulation Versus Standard Care as a Rapid Response to (SARS-CoV-2) COVID-19 Pandemic,"COVID|Coronavirus Infection|Severe Acute Respiratory Syndrome|Thromboembolism, Venous|Anticoagulants and Bleeding Disorders",Drug: Therapeutic anticoagulation,University of Sao Paulo General Hospital|Unity Health Toronto|University of Vermont Medical Center,Phase 3,465,Other,"July 4, 2020","May 10, 2021","October 14, 2021"
4477,NCT04444284,Study of the Safety and Immunogenicity of an Intranasal Vaccine for Respiratory Syncytial Virus in Seropositive Children,Respiratory Syncytial Virus Infections,Biological: Investigational RSV vaccine MV-012-968 (Dosage 1)|Biological: Investigational RSV vaccine MV-012-968 (Dosage 2)|Other: Placebo|Biological: Investigational RSV vaccine MV-012-968 (Dosage 3),"Meissa Vaccines, Inc.",Phase 1,34,Industry,"June 9, 2020","May 7, 2021","May 7, 2021"
4478,NCT04444050,"Study to Evaluate the Safety, Tolerability, Drug Levels and Drug Effects of BMS-986331 in Healthy Participants",Healthy Participants,"Drug: BMS-986331|Other: Placebo, Matching BMS-986331",Bristol-Myers Squibb,Phase 1,48,Industry,"June 23, 2020","May 19, 2021","May 19, 2021"
4479,NCT04442945,Phase 1 Study of ANAVEX3-71,Healthy,Drug: ANAVEX3-71|Drug: Placebo,Anavex Life Sciences Corp.|Anavex Australia Pty Ltd.,Phase 1,36,Industry,"July 3, 2020","September 30, 2021","October 30, 2021"
4480,NCT04442503,A Study to Evaluate the Efficacy and Safety of SAGE-217 in Participants With Severe Postpartum Depression (PPD),"Depression, Postpartum",Drug: SAGE-217|Drug: Placebo,Sage Therapeutics,Phase 3,200,Industry,"June 22, 2020","March 15, 2022","April 12, 2022"
4481,NCT04440774,Research Study to Assess New Chikungunya and Zika Vaccines in Healthy Adults in Mexico.,Chikungunya|Zika,Biological: CHIK low dose|Biological: CHIK mid dose|Biological: CHIK high dose|Biological: ZIKA low dose|Biological: ZIKA mid dose|Biological: ZIKA high dose|Biological: Saline placebo,University of Oxford,Phase 1,120,Other,"October 23, 2020","February 18, 2022","February 18, 2022"
4482,NCT04440163,MenABCWY Noninferiority Study in Healthy Participants ≥10 to <26 Years of Age,Meningococcal Vaccine,Biological: MenABCWY|Biological: Saline|Biological: Trumenba|Biological: MenACWY-CRM,Pfizer,Phase 3,2431,Industry,"June 17, 2020","July 24, 2022","July 24, 2022"
4483,NCT04440007,Study of the Efficacy and Safety of STI-5656 (Abivertinib Maleate) in Subjects Hospitalized With COVID-19,Covid-19,Drug: Abivertinib|Other: Standard of Care,"Sorrento Therapeutics, Inc.",Phase 2,96,Industry,"October 9, 2020","July 1, 2021","August 23, 2021"
4484,NCT04439396,Toradol (Ketorolac) in Breast Surgery to Reduce Pain & Opioid Use,Breast Reduction|Breast Reconstruction,Drug: Ketorolac Tromethamine|Other: Saline,Carilion Clinic,Phase 1,183,Other,"June 22, 2020","January 30, 2023","January 30, 2023"
4485,NCT04439045,Efficacy and Safety of VPM1002 in Reducing SARS-CoV-2 (COVID-19) Infection Rate and Severity,SARS-CoV-2 Infection,Biological: VPM1002|Other: Placebo,"University Health Network, Toronto|Serum Institute of India Pvt. Ltd.|Max Planck Institute for Infection Biology|Verity Pharmaceuticals Inc.",Phase 3,122,Other|Industry,"June 24, 2020","September 9, 2021","September 9, 2021"
4486,NCT04437485,eIMPACT-DM Pilot Trial: Depression Treatment to Reduce Diabetes Risk,Depression|Major Depressive Disorder|Dysthymic Disorder|Depressive Symptoms|Type 2 Diabetes|PreDiabetes|Insulin Resistance,Behavioral: Good Days Ahead (GDA)|Behavioral: Problem Solving Treatment in Primary Care (PST-PC)|Drug: Antidepressant Medications|Other: Active Control,Indiana University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Phase 2,46,Other|NIH,"October 14, 2020","August 29, 2022","August 29, 2022"
4487,NCT04437199,Tricaprilin Phase 2 Pilot Study in Migraine,Migraine,Drug: Tricaprilin|Drug: Placebo,Cerecin,Phase 2,83,Industry,"December 17, 2020","February 7, 2022","February 7, 2022"
4488,NCT04437017,"Olanzapine or Dexamethasone, With 5-HT3 RA and NK-1 RA, to Prevent CINV",Chemotherapy-induced Nausea and Vomiting,Drug: Olanzapine+NK-1 RA+5-HT3 RA|Drug: Dexamethasone+NK-1 RA+5-HT3 RA,"Fifth Affiliated Hospital, Sun Yat-Sen University",Phase 3,557,Other,"February 3, 2020","May 1, 2022","July 1, 2022"
4489,NCT04436744,"A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Giredestrant Plus Palbociclib Compared With Anastrozole Plus Palbociclib for Postmenopausal Women With Estrogen Receptor-Positive and HER2-Negative Untreated Early Breast Cancer (coopERA Breast Cancer)",Early Breast Cancer,Drug: Giredestrant|Drug: Anastrozole|Drug: Palbociclib|Procedure: Surgery,Hoffmann-La Roche,Phase 2,221,Industry,"September 4, 2020","July 6, 2021","November 24, 2021"
4490,NCT04436133,Immunogenicity AND Safety Study of the 11 Valent Recombinant Human Papillomavirus Vaccine (Hansenulapolymorpha),HPV Infection|HPV-Related Cervical Carcinoma,Biological: Biological/Vaccine: 11-valent recombinant human papilloma virus vaccine (Hansenula polymorpha)|Biological: 9-valent HPV vaccine（Gardasil 9）,"National Vaccine and Serum Institute, China|Chengdu Institute of Biological Products Co.,Ltd.|Simoon Record Pharma Information Consulting Co., Ltd.|Guangxi Center for Disease Control and Prevention|Beijing Kantorico Statistical Technology Co., Ltd.",Phase 2,480,Industry|Other,"June 20, 2020","March 1, 2022","March 1, 2022"
4491,NCT04436029,Descartes-11 Consolidation Treatment in Patients With High-Risk Multiple Myeloma Who Have Residual Disease After Induction Therapy,Myeloma Multiple,Biological: Descartes 11,Cartesian Therapeutics,Phase 2,4,Industry,"June 12, 2020","March 10, 2022","March 10, 2022"
4492,NCT04436016,PeRiOperaTivE CardioproTection With Ivabradine in Non-cardiac Surgery,Myocardial Injury|Myocardial Ischemia,Drug: Ivabradine|Drug: Placebo,"University Hospital, Geneva",Phase 4,78,Other,"October 5, 2020","December 12, 2021","January 11, 2022"
4493,NCT04435431,A Clinical Study of Mesdopetam in Patients With Parkinson's Disease Experiencing Levodopa Induced Dyskinesia,Parkinson Disease,Drug: Mesdopetam|Drug: Placebo,Integrative Research Laboratories AB,Phase 2,156,Industry,"October 29, 2020","December 2, 2022","December 9, 2022"
4494,NCT04435379,Study to Assess VPM1002 in Reducing Hospital Admissions and/or Severe Respiratory Infectious Diseases in Elderly in COVID-19 Pandemic,"Infection, Respiratory Tract",Biological: VPM1002|Biological: Placebo,Vakzine Projekt Management GmbH|FGK Clinical Research GmbH,Phase 3,2038,Industry,"June 18, 2020","October 12, 2021","October 12, 2021"
4495,NCT04434469,A Study Evaluating The Safety And Pharmacokinetics Of Escalating Doses Of RO7297089 In Patients With Relapsed Or Refractory Multiple Myeloma,Refractory Multiple Myeloma|Relapsed Multiple Myeloma,Drug: RO7297089,"Genentech, Inc.",Phase 1,27,Industry,"July 8, 2020","February 16, 2022","February 16, 2022"
4496,NCT04434326,"The Absorption, Metabolism and Excretion of [14C]CM082 in Human",Advanced Solid Tumor,Drug: [14]CM082 suspension,AnewPharma,Phase 1,4,Industry,"July 5, 2021","October 22, 2021","October 22, 2021"
